d	lambda	params	MSE	R2
11	27.8256	[9.58481e-05, -0.00586048, -8.64068e-05, -0.00397481, -0.00026955, -0.00289139, -0.000356534, -0.00224976, -0.00037048, -0.00186052, -0.000344786]	0.17196	0.0263433
11	464.159	[3.66273e-06, -0.000382344, -1.05878e-05, -0.000270971, -2.24568e-05, -0.000205537, -2.76997e-05, -0.000165962, -2.83025e-05, -0.000141425, -2.65007e-05]	0.18071	-0.0231991
11	7742.64	[2.08594e-07, -2.30504e-05, -6.59822e-07, -1.63814e-05, -1.37508e-06, -1.24572e-05, -1.68945e-06, -1.00804e-05, -1.72455e-06, -8.60455e-06, -1.61538e-06]	0.181347	-0.0268051
11	129155	[1.24644e-08, -1.3823e-06, -3.9647e-08, -9.82539e-07, -8.25393e-08, -7.47283e-07, -1.01385e-07, -6.04779e-07, -1.03486e-07, -5.16288e-07, -9.6937e-08]	0.181385	-0.027024
11	2.15443e+06	[7.47078e-10, -8.28686e-08, -2.37711e-09, -5.89035e-08, -4.94848e-09, -4.48002e-08, -6.07827e-09, -3.62573e-08, -6.20417e-09, -3.09523e-08, -5.81157e-09]	0.181388	-0.0270372
11	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09, -3.48396e-10]	0.181388	-0.027038
11	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10, -2.08858e-11]	0.181388	-0.027038
11	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12, -1.25207e-12]	0.181388	-0.027038
12	0.1	[-0.0392587, -0.249655, 0.0327295, -0.00865894, 0.0215645, 0.0498451, 0.00307764, 0.0480528, -0.0102662, 0.0262883, -0.0178144, -0.000424187]	0.0709589	0.598223
12	1.6681	[0.000516231, -0.0554615, 0.00191382, -0.0251536, 0.000186729, -0.00998188, -0.00111081, -0.00216911, -0.00160207, 0.00185192, -0.00152056, 0.00385384]	0.13138	0.256112
12	27.8256	[9.73155e-05, -0.00582822, -8.30384e-05, -0.00393391, -0.000265709, -0.00284588, -0.000352506, -0.0022019, -0.000366241, -0.00181157, -0.000340261, -0.00157086]	0.171692	0.0278616
12	464.159	[3.67315e-06, -0.000382159, -1.05652e-05, -0.000270742, -2.24313e-05, -0.000205285, -2.76733e-05, -0.000165699, -2.82754e-05, -0.000141158, -2.64724e-05, -0.000125647]	0.180674	-0.0229984
12	7742.64	[2.08633e-07, -2.30497e-05, -6.59738e-07, -1.63806e-05, -1.37499e-06, -1.24563e-05, -1.68935e-06, -1.00794e-05, -1.72445e-06, -8.60356e-06, -1.61528e-06, -7.66928e-06]	0.181344	-0.0267924
12	129155	[1.24646e-08, -1.3823e-06, -3.96467e-08, -9.82536e-07, -8.25389e-08, -7.47279e-07, -1.01385e-07, -6.04776e-07, -1.03485e-07, -5.16285e-07, -9.69366e-08, -4.6026e-07]	0.181385	-0.0270233
12	2.15443e+06	[7.47079e-10, -8.28685e-08, -2.37711e-09, -5.89035e-08, -4.94848e-09, -4.48002e-08, -6.07827e-09, -3.62573e-08, -6.20417e-09, -3.09523e-08, -5.81157e-09, -2.75936e-08]	0.181388	-0.0270371
12	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09, -3.48396e-10, -1.6542e-09]	0.181388	-0.027038
12	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10, -2.08858e-11, -9.91668e-11]	0.181388	-0.027038
12	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12, -1.25207e-12, -5.94489e-12]	0.181388	-0.027038
13	0.1	[-0.0402948, -0.249758, 0.031796, -0.00913594, 0.0223741, 0.049493, 0.00595705, 0.0480101, -0.00553592, 0.0265946, -0.0115885, 0.000211602, -0.0138069]	0.0708492	0.598844
13	1.6681	[0.000530691, -0.0554624, 0.00197989, -0.0251552, 0.000297318, -0.00998171, -0.000967639, -0.00216566, -0.00143671, 0.00185927, -0.0013405, 0.00386513, -0.000950414]	0.131417	0.2559
13	27.8256	[0.000101585, -0.00582768, -7.66931e-05, -0.00393326, -0.000258085, -0.00284517, -0.000344152, -0.00220114, -0.000357501, -0.00181076, -0.000331337, -0.00156999, -0.000289856]	0.171663	0.0280239
13	464.159	[3.69951e-06, -0.000382156, -1.05275e-05, -0.000270738, -2.23869e-05, -0.000205281, -2.76253e-05, -0.000165694, -2.82256e-05, -0.000141152, -2.64219e-05, -0.000125642, -2.37517e-05]	0.18067	-0.0229739
13	7742.64	[2.08731e-07, -2.30497e-05, -6.59598e-07, -1.63806e-05, -1.37482e-06, -1.24563e-05, -1.68917e-06, -1.00794e-05, -1.72426e-06, -8.60354e-06, -1.61509e-06, -7.66926e-06, -1.45419e-06]	0.181344	-0.0267909
13	129155	[1.24649e-08, -1.3823e-06, -3.96462e-08, -9.82536e-07, -8.25383e-08, -7.47279e-07, -1.01384e-07, -6.04776e-07, -1.03485e-07, -5.16284e-07, -9.6936e-08, -4.6026e-07, -8.72875e-08]	0.181385	-0.0270232
13	2.15443e+06	[7.4708e-10, -8.28685e-08, -2.3771e-09, -5.89035e-08, -4.94847e-09, -4.48002e-08, -6.07827e-09, -3.62573e-08, -6.20417e-09, -3.09523e-08, -5.81157e-09, -2.75936e-08, -5.23315e-09]	0.181388	-0.0270371
13	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09, -3.48396e-10, -1.6542e-09, -3.1372e-10]	0.181388	-0.027038
13	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10, -2.08858e-11, -9.91668e-11, -1.88071e-11]	0.181388	-0.027038
13	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12, -1.25207e-12, -5.94489e-12, -1.12745e-12]	0.181388	-0.027038
14	0.1	[-0.0400341, -0.25144, 0.0313205, -0.00958966, 0.0217921, 0.0511805, 0.00562421, 0.0518198, -0.00549925, 0.0322107, -0.0111761, 0.00728153, -0.0130555, -0.0171945]	0.0706183	0.600151
14	1.6681	[0.000527899, -0.0556162, 0.00199582, -0.0255016, 0.000312198, -0.0104745, -0.000965683, -0.00276141, -0.00145282, 0.00119291, -0.00137566, 0.00315073, -0.0010036, 0.00403781]	0.131094	0.257733
14	27.8256	[0.000102544, -0.00580198, -7.42844e-05, -0.00389996, -0.000255201, -0.00280753, -0.00034096, -0.0021611, -0.000353977, -0.00176944, -0.000327439, -0.00152804, -0.000285559, -0.00137676]	0.171474	0.0290955
14	464.159	[3.70777e-06, -0.000381996, -1.05089e-05, -0.000270536, -2.2365e-05, -0.000205056, -2.76019e-05, -0.000165457, -2.82007e-05, -0.000140909, -2.63953e-05, -0.000125396, -2.37232e-05, -0.000115398]	0.18064	-0.0228062
14	7742.64	[2.08762e-07, -2.30491e-05, -6.59527e-07, -1.63798e-05, -1.37474e-06, -1.24554e-05, -1.68908e-06, -1.00785e-05, -1.72417e-06, -8.60264e-06, -1.61499e-06, -7.66835e-06, -1.45409e-06, -7.06508e-06]	0.181342	-0.0267802
14	129155	[1.2465e-08, -1.3823e-06, -3.9646e-08, -9.82534e-07, -8.2538e-08, -7.47276e-07, -1.01384e-07, -6.04772e-07, -1.03484e-07, -5.16281e-07, -9.69356e-08, -4.60256e-07, -8.72871e-08, -4.24077e-07]	0.181385	-0.0270225
14	2.15443e+06	[7.4708e-10, -8.28685e-08, -2.3771e-09, -5.89035e-08, -4.94847e-09, -4.48002e-08, -6.07827e-09, -3.62572e-08, -6.20417e-09, -3.09523e-08, -5.81157e-09, -2.75936e-08, -5.23315e-09, -2.54247e-08]	0.181388	-0.0270371
14	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09, -3.48396e-10, -1.6542e-09, -3.1372e-10, -1.52418e-09]	0.181388	-0.027038
14	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10, -2.08858e-11, -9.91668e-11, -1.88071e-11, -9.1372e-11]	0.181388	-0.027038
14	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12, -1.25207e-12, -5.94489e-12, -1.12745e-12, -5.47761e-12]	0.181388	-0.027038
15	0.1	[-0.040464, -0.251497, 0.0306683, -0.00985768, 0.0218374, 0.0509584, 0.00664754, 0.0517368, -0.00353432, 0.0322871, -0.00841137, 0.00750861, -0.00964418, -0.0168344, -0.00877105]	0.0705596	0.600484
15	1.6681	[0.000529692, -0.055618, 0.00201727, -0.0255036, 0.000351969, -0.0104754, -0.000911792, -0.00276063, -0.00138888, 0.00119565, -0.00130477, 0.00315536, -0.000927948, 0.0040442, -0.000440475]	0.131108	0.257651
15	27.8256	[0.00010564, -0.00580161, -6.95648e-05, -0.0038995, -0.000249425, -0.002807, -0.000334544, -0.0021605, -0.000347197, -0.00176878, -0.000320462, -0.00152732, -0.000278482, -0.00137598, -0.000234823]	0.171454	0.0292109
15	464.159	[3.72947e-06, -0.000381993, -1.04772e-05, -0.000270532, -2.23272e-05, -0.000205051, -2.75606e-05, -0.000165453, -2.81575e-05, -0.000140905, -2.63511e-05, -0.000125391, -2.36786e-05, -0.000115392, -2.09762e-05]	0.180637	-0.022785
15	7742.64	[2.08844e-07, -2.30491e-05, -6.59409e-07, -1.63798e-05, -1.3746e-06, -1.24554e-05, -1.68893e-06, -1.00785e-05, -1.72401e-06, -8.60262e-06, -1.61482e-06, -7.66833e-06, -1.45392e-06, -7.06506e-06, -1.29154e-06]	0.181342	-0.0267789
15	129155	[1.24653e-08, -1.3823e-06, -3.96455e-08, -9.82534e-07, -8.25375e-08, -7.47276e-07, -1.01383e-07, -6.04772e-07, -1.03484e-07, -5.16281e-07, -9.6935e-08, -4.60256e-07, -8.72865e-08, -4.24077e-07, -7.75508e-08]	0.181385	-0.0270225
15	2.15443e+06	[7.47081e-10, -8.28685e-08, -2.3771e-09, -5.89035e-08, -4.94847e-09, -4.48002e-08, -6.07826e-09, -3.62572e-08, -6.20416e-09, -3.09523e-08, -5.81157e-09, -2.75936e-08, -5.23315e-09, -2.54247e-08, -4.6495e-09]	0.181388	-0.0270371
15	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09, -3.48396e-10, -1.6542e-09, -3.1372e-10, -1.52418e-09, -2.78732e-10]	0.181388	-0.027038
15	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10, -2.08858e-11, -9.91668e-11, -1.88071e-11, -9.1372e-11, -1.67095e-11]	0.181388	-0.027038
15	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12, -1.25207e-12, -5.94489e-12, -1.12745e-12, -5.47761e-12, -1.00171e-12]	0.181388	-0.027038
